Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
AC003092.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003104.1	313	241	285	304	70	122	194	141	56	43	90	70	11	53	33	30	43	52	35
AC003664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003682.16	41	29	85	21	61	47	39	77	14	15	18	9	5	9	9	9	7	8	6
AC003682.17	6	0	8	0	6	0	2	17	0	0	0	0	0	0	0	0	0	1	0
AC003956.1	0	0	0	0	2	1	2	3	2	1	1	0	1	1	0	0	0	0	0
AC003958.2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.6	0	0	0	1	0	2	4	6	4	2	7	8	6	0	5	7	2	0	0
AC003973.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.3	8	12	6	0	2	3	3	1909	0	0	5	1	18	0	1	23	2	0	0
AC003973.4	4	0	0	0	0	0	0	5	0	2	1	0	1	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003991.3	1	1	11	1	0	0	1	1	3	2	1	0	0	2	0	1	1	3	1
AC004004.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.10	2	1	1	2	2	0	0	0	1	0	1	1	0	1	0	0	0	1	1
AC004019.13	3	3	2	2	3	1	2	7	0	0	2	0	2	0	3	3	0	4	2
AC004019.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004051.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004057.1	9	16	64	27	524	22	65	37	25	40	66	28	23	140	25	15	41	243	82
AC004062.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004066.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004066.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004067.5	19	10	3	11	18	23	54	140	23	40	16	23	15	2	29	60	17	7	12
AC004069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004069.2	26	9	17	20	22	10	23	40	5	5	32	14	6	11	11	19	15	24	9
AC004070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004074.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004076.5	182	142	162	78	232	140	71	307	34	83	37	57	20	23	19	100	63	94	19
AC004076.7	17	2	13	5	9	4	7	18	0	2	0	3	2	1	1	3	0	3	0
AC004076.9	9	10	17	2	20	6	5	12	0	3	0	1	1	0	0	2	0	5	0
AC004112.4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
AC004125.3	5	1	2	3	0	0	1	2	0	0	1	0	0	1	0	3	0	1	0
AC004129.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004156.3	25	7	11	18	25	17	26	32	7	4	4	11	2	10	2	6	3	20	4
AC004158.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004159.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC004160.4	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
AC004221.2	0	0	1	5	0	0	7	0	1	0	0	1	0	1	0	0	1	2	1
AC004231.2	0	0	1	0	0	1	0	1	0	0	2	2	0	0	0	1	0	0	0
AC004237.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004257.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004381.6	428	500	706	835	1009	651	610	1134	438	550	262	426	178	544	349	549	413	563	211
AC004381.7	18	8	19	17	16	11	7	18	0	8	0	4	5	5	8	5	5	10	10
AC004381.8	5	7	9	1	17	2	14	20	0	0	0	4	0	9	0	4	2	2	0
AC004383.3	12	31	32	4	28	13	22	58	9	14	3	3	7	4	10	13	6	9	3
AC004386.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.4	0	2	0	1	8	0	1	1	1	0	4	2	0	2	0	0	2	4	1
AC004448.2	0	2	2	2	2	2	0	2	0	0	0	0	0	0	0	1	0	5	2
AC004448.5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0
AC004449.6	3	0	3	7	0	4	4	14	2	0	1	3	3	1	0	2	0	1	0
AC004453.8	97	177	44	145	666	193	126	151	210	97	144	198	73	248	66	104	113	442	221
AC004461.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004471.10	2	1	0	0	3	0	0	0	2	1	1	1	2	0	0	1	2	0	0
AC004471.9	0	2	2	2	10	4	6	4	2	0	1	1	2	2	0	5	3	4	2
AC004485.3	6	4	2	1	5	4	2	0	0	0	1	1	0	0	1	1	0	3	0
AC004490.1	62	1	45	57	164	1	7	15	4	0	23	4	5	0	10	10	4	6	3
AC004510.3	9	2	2	12	17	6	0	1	1	3	0	2	1	2	0	5	0	6	3
AC004535.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004538.3	10	6	1	4	5	11	11	16	4	5	3	0	1	5	2	4	0	5	2
AC004540.4	3	0	0	1	0	0	1	0	0	1	2	2	0	1	0	3	0	0	1
AC004540.5	3	3	2	7	2	0	3	39	2	1	0	2	0	2	1	7	1	0	6
AC004543.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004549.6	4	4	3	2	16	4	3	5	3	0	0	4	1	0	0	1	0	3	0
AC004593.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004603.4	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0
AC004623.2	0	0	1	1	3	1	1	1	0	0	1	0	0	0	0	1	0	0	0
AC004623.3	2	0	2	1	0	1	2	4	0	0	0	2	1	2	0	0	0	0	0
AC004637.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
AC004691.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004692.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004692.5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC004702.2	0	0	1	1	0	0	1	1	1	0	1	0	0	4	0	0	0	0	1
AC004744.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004754.3	1	1	7	5	16	1	10	3	4	1	5	1	1	2	6	2	0	2	0
AC004775.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
AC004791.2	0	2	1	0	5	3	0	1	0	1	2	9	0	3	0	15	6	2	378
AC004837.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004837.4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004837.5	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1
AC004840.8	6	3	5	3	4	2	6	13	0	0	1	1	0	1	1	3	2	9	1
AC004854.4	6	5	6	8	2	5	11	18	25	7	5	5	1	8	3	2	4	12	13
AC004854.5	4	2	4	0	2	2	0	0	0	0	1	1	0	1	1	1	0	0	0
AC004862.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004866.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004866.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004870.3	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	8	2
AC004870.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004870.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004878.3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AC004878.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004878.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004878.7	9	3	1	12	4	1	62	3	12	1	10	4	4	3	2	2	14	18	2
AC004878.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.10	5	1	0	13	1	2	32	1	17	3	18	11	1	1	0	4	6	7	18
AC004893.11	798	615	471	486	1279	551	795	1545	265	397	203	288	165	220	141	553	164	389	84
AC004895.4	2	2	1	3	10	1	1	0	3	1	3	3	0	4	2	0	2	1	3
AC004899.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004901.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16	2
AC004906.3	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
AC004911.2	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004920.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004920.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004938.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004941.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004941.5	0	2	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
AC004945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004947.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004951.5	71	56	74	32	66	77	71	143	33	24	26	32	34	30	18	60	29	41	4
AC004951.6	134	77	157	47	77	92	108	241	41	34	33	30	27	26	40	79	32	74	25
AC004967.7	293	385	272	343	334	320	326	485	252	187	328	150	111	84	119	230	170	450	184
AC004980.10	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC004980.7	476	278	313	274	869	480	284	963	116	242	182	141	75	111	102	240	95	240	77
AC004980.8	0	0	3	3	1	1	0	0	0	1	0	1	0	0	0	2	0	2	1
AC004980.9	1	5	2	7	7	3	4	2	1	2	2	8	1	0	1	8	2	4	0
AC004985.12	26	42	15	72	16	53	66	41	16	11	43	21	6	22	18	8	17	31	20
AC004987.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004987.9	15	12	11	19	39	14	4	10	1	1	1	6	1	9	5	4	2	14	3
AC004988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC005008.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005008.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005009.1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005009.2	4	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AC005013.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005014.5	7	15	11	16	28	9	26	14	5	7	7	7	1	6	5	9	5	9	7
AC005017.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005019.2	2	5	2	2	11	2	4	3	2	1	1	1	0	4	2	0	2	4	1
AC005019.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005033.6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005034.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005037.3	26	11	11	15	12	8	30	25	16	15	9	7	2	5	6	9	7	13	11
AC005040.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005041.11	5	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0
AC005042.2	13	8	15	17	10	2	30	15	10	3	4	6	0	11	4	10	0	9	11
AC005042.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005042.4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005042.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005062.2	0	1	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	1	1
AC005076.5	43	27	43	58	71	28	50	60	37	49	31	18	8	24	22	52	16	32	15
AC005077.14	1728	1708	1059	1073	869	987	846	1408	518	1300	269	301	192	744	348	901	108	364	177
AC005077.5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC005077.7	3	1	0	12	3	1	6	4	6	0	1	4	0	2	1	5	3	1	2
AC005077.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005077.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005082.12	491	21	4	2	490	7	2	11	2	2	0	5	0	4	1	3	0	3	4
AC005083.1	22	5	0	5	1	0	0	1	0	3	2	3	0	1	0	4	1	11	7
AC005094.2	4	2	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0
AC005102.1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0
AC005104.3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
AC005105.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005152.3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005154.6	5535	4069	4230	4276	7647	3809	4513	7120	2338	1557	3352	3097	937	2950	2575	2877	2397	7050	1993
AC005154.7	200	113	108	130	259	124	101	244	60	39	99	94	14	90	60	90	67	192	51
AC005154.8	6	5	4	6	0	1	3	10	3	2	0	0	0	2	3	1	2	4	0
AC005160.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005162.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005162.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005176.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005176.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005176.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005178.1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	5	0
AC005189.6	2	3	1	3	1	2	12	2	5	0	18	3	5	3	2	1	7	1	3
AC005197.2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1
AC005220.3	38	31	139	13	23	26	0	1	8	0	2	1	0	11	3	0	1	6	1
AC005224.2	47	48	46	17	83	28	18	108	6	30	37	27	13	17	23	47	24	43	13
AC005229.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC005229.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005237.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005237.4	0	1	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005251.3	58	132	25	84	340	78	66	117	85	29	62	97	37	89	35	65	42	174	76
AC005253.2	1	5	0	8	0	3	0	2	1	3	0	3	1	0	0	1	0	1	0
AC005253.4	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005255.3	3	7	1	2	9	9	4	5	1	2	3	3	0	1	2	1	2	0	3
AC005255.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005255.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005256.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005262.2	26	9	64	3	69	12	52	43	7	12	23	17	27	16	10	17	9	61	19
AC005262.3	26	21	67	6	128	17	62	70	20	15	31	31	19	20	22	38	16	94	18
AC005262.4	1	1	0	1	3	0	48	0	9	1	7	8	0	4	0	4	1	8	6
AC005264.2	11	30	4	23	17	19	23	4	23	8	11	13	5	10	11	19	5	1	5
AC005276.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005281.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005281.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005300.5	6	10	5	1	8	0	3	3	2	1	1	2	1	2	3	0	0	3	1
AC005301.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC005301.9	1727	604	92	2233	733	397	75	237	92	2	14	27	60	29	1	293	4	1	0
AC005304.1	4	3	2	6	4	5	4	2	0	0	2	1	0	0	0	1	0	1	1
AC005306.3	760	1029	819	320	2530	893	396	967	175	350	219	250	183	232	156	661	141	475	57
AC005307.1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0
AC005307.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005307.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005307.5	1	1	2	0	2	0	0	0	1	1	1	0	0	0	0	1	0	3	0
AC005324.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC005324.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005329.7	807	274	1061	576	1036	300	973	1255	513	498	617	610	394	349	318	263	282	464	163
AC005330.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005336.4	2	4	0	0	2	3	1	2	0	0	0	0	1	0	0	0	0	0	0
AC005336.5	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0
AC005339.2	15	13	14	6	35	9	19	18	11	5	5	7	1	8	6	12	2	12	1
AC005351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC005355.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.3	13	4	9	12	11	1	7	21	8	20	8	11	1	5	8	12	7	4	4
AC005357.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005358.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005363.11	4	3	6	5	4	3	2	7	4	4	4	1	1	2	2	7	5	9	2
AC005363.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005387.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005387.3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC005391.2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AC005392.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005394.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005481.5	1	6	3	27	24	23	1	51	1	0	0	4	0	8	0	1	0	32	159
AC005487.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC005488.11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC005498.3	4	6	9	3	16	8	16	21	10	4	10	3	2	4	2	7	2	6	1
AC005498.4	1	1	0	0	6	7	1	4	0	1	3	0	2	0	1	3	1	2	0
AC005514.2	2	0	3	0	0	2	1	2	3	0	0	0	0	1	1	0	0	1	3
AC005517.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
AC005518.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005519.4	210	322	280	145	551	287	501	611	144	225	345	101	90	111	93	218	120	85	61
AC005522.6	0	1	0	2	0	2	1	1	1	0	3	1	0	0	0	0	3	0	1
AC005522.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005523.2	8	5	1	2	3	12	1	8	0	1	1	0	1	0	0	1	0	5	2
AC005523.3	0	0	0	2	2	0	8	3	1	2	0	1	1	0	0	1	0	1	0
AC005532.5	19	15	7	15	25	8	12	7	7	6	9	3	6	3	6	14	3	3	3
AC005534.6	0	9	1	2	6	1	5	8	3	0	1	0	4	4	0	5	0	6	4
AC005534.8	17	15	9	19	2	4	43	12	1	5	33	16	12	5	10	9	13	53	4
AC005537.2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
AC005538.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005538.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005539.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005540.3	9	12	11	1	18	14	6	18	21	3	2	10	3	4	1	5	2	18	15
AC005546.2	62	34	63	34	17	10	102	52	16	7	11	13	9	7	12	17	13	19	13
AC005550.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005550.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005559.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC005562.1	28	48	36	31	74	32	35	72	15	24	34	18	6	11	14	40	12	31	6
AC005578.3	7	5	5	21	10	6	4	7	13	6	4	13	5	7	4	9	4	8	9
AC005588.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC005592.2	0	0	0	0	0	0	0	26	1	0	1	0	2	0	10	1	0	1	0
AC005592.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC005593.2	6	7	9	3	21	10	3	12	22	10	4	7	4	1	5	10	4	11	7
AC005597.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005606.14	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0
AC005606.15	3	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
AC005609.16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005609.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005614.3	7	1	5	10	15	8	0	1	3	0	0	1	0	1	0	0	3	3	2
AC005614.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005616.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC005616.2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AC005618.6	52	167	335	36	165	27	104	478	59	143	53	51	52	46	119	144	147	38	3
AC005618.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC005618.9	0	0	0	0	0	5	2	0	1	0	1	1	2	0	0	1	0	1	0
AC005624.2	6	10	1	5	17	20	16	9	11	6	2	5	8	4	8	10	7	11	3
AC005625.1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005626.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005682.5	68	166	189	166	115	80	242	343	284	133	281	274	79	184	225	155	125	291	132
AC005682.6	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
AC005703.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005703.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005722.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC005740.3	1	2	1	3	2	3	0	0	0	1	0	0	0	0	1	0	0	2	0
AC005740.4	3	2	1	1	3	2	1	4	0	0	0	1	0	1	3	0	0	3	0
AC005740.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005740.6	13	40	22	13	13	6	9	77	3	3	9	8	8	1	6	9	7	19	2
AC005741.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005752.10	10	12	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005753.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC005754.7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005754.8	1	1	0	0	3	0	1	147	0	0	0	0	1	0	0	0	0	0	0
AC005757.6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC005758.1	1	0	0	1	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0
AC005772.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
